Web server,Server type,Workload type,Concurrency level,Failed reqs,Requests per second,Time per request (mean),Time per request (across concurrent reqs),Transfer rate
actix-web-bench,Normal,Tiny,1,0.0,3581.12,0.279,0.279,341245.12
actix-web-bench,Normal,Tiny,25,0.0,19304.303,1.301,0.052,1839507.943
actix-web-bench,Normal,Tiny,50,0.0,17772.583,2.814,0.056,1693550.403
actix-web-bench,Normal,Tiny,75,0.0,18939.697,3.971,0.053,1804764.4
actix-web-bench,Normal,Tiny,100,0.0,16917.837,5.919,0.059,1612101.33
actix-web-bench,Normal,Tiny,150,0.0,15262.23,9.833,0.066,1454338.197
actix-web-bench,Normal,Tiny,200,0.0,14577.97,13.722,0.069,1389135.323
actix-web-bench,Normal,Small,1,0.0,591.457,1.691,1.691,605826.34
actix-web-bench,Normal,Small,25,0.0,2679.34,9.332,0.373,2744437.297
actix-web-bench,Normal,Small,50,0.0,2601.04,19.224,0.384,2664230.673
actix-web-bench,Normal,Small,75,0.0,2542.663,29.5,0.393,2604441.803
actix-web-bench,Normal,Small,100,0.0,2393.56,41.786,0.418,2451713.507
actix-web-bench,Normal,Small,150,0.0,2224.607,67.441,0.45,2278651.883
actix-web-bench,Normal,Small,200,0.0,2071.313,96.589,0.483,2121636.083
actix-web-bench,Normal,Medium,1,0.0,295.783,3.381,3.381,605854.163
actix-web-bench,Normal,Medium,25,0.0,1353.063,18.481,0.739,2771475.353
actix-web-bench,Normal,Medium,50,0.0,1324.983,37.745,0.755,2713954.943
actix-web-bench,Normal,Medium,75,0.0,1268.913,59.118,0.788,2599115.553
actix-web-bench,Normal,Medium,100,0.0,1181.683,84.627,0.846,2420433.953
actix-web-bench,Normal,Medium,150,0.0,1114.85,134.549,0.897,2283541.447
actix-web-bench,Normal,Medium,200,0.0,1033.193,193.617,0.968,2116287.813
actix-web-bench,Normal,Large,1,0.0,147.91,6.761,6.761,605877.633
actix-web-bench,Normal,Large,25,0.0,677.327,36.921,1.477,2774520.927
actix-web-bench,Normal,Large,50,0.0,661.27,75.638,1.513,2708756.963
actix-web-bench,Normal,Large,75,0.0,634.407,118.225,1.576,2598708.84
actix-web-bench,Normal,Large,100,0.0,599.78,166.745,1.668,2456880.023
actix-web-bench,Normal,Large,150,0.0,551.707,271.924,1.813,2259946.027
actix-web-bench,Normal,Large,200,0.0,519.22,385.369,1.927,2126868.477
actix-web-bench,Normal,Dynamic,1,0.0,10069.213,0.099,0.099,1219.317
actix-web-bench,Normal,Dynamic,25,0.0,142670.45,0.175,0.007,17276.5
actix-web-bench,Normal,Dynamic,50,0.0,144352.697,0.347,0.007,17480.21
actix-web-bench,Normal,Dynamic,75,0.0,135840.783,0.553,0.008,16449.467
actix-web-bench,Normal,Dynamic,100,0.0,136535.867,0.733,0.007,16533.64
actix-web-bench,Normal,Dynamic,150,0.0,144230.4,1.041,0.007,17465.4
actix-web-bench,Normal,Dynamic,200,0.0,136907.123,1.461,0.007,16578.597
actix-web-bench,Compression,Tiny,1,0.0,3608.62,0.277,0.277,343865.66
actix-web-bench,Compression,Tiny,25,0.0,18682.757,1.344,0.053,1780280.547
actix-web-bench,Compression,Tiny,50,0.0,18342.097,2.73,0.055,1747819.303
actix-web-bench,Compression,Tiny,75,0.0,17650.7,4.284,0.057,1681936.05
actix-web-bench,Compression,Tiny,100,0.0,17165.86,5.842,0.058,1635735.733
actix-web-bench,Compression,Tiny,150,0.0,15051.313,9.979,0.067,1434240.44
actix-web-bench,Compression,Tiny,200,0.0,14640.783,13.672,0.069,1395120.77
actix-web-bench,Compression,Small,1,0.0,591.463,1.691,1.691,605830.177
actix-web-bench,Compression,Small,25,0.0,2753.477,9.101,0.364,2820373.033
actix-web-bench,Compression,Small,50,0.0,2605.567,19.191,0.384,2668870.063
actix-web-bench,Compression,Small,75,0.0,2497.69,30.032,0.401,2558373.813
actix-web-bench,Compression,Small,100,0.0,2382.11,41.986,0.42,2439983.357
actix-web-bench,Compression,Small,150,0.0,2176.903,68.914,0.46,2229788.793
actix-web-bench,Compression,Small,200,0.0,2030.823,98.535,0.493,2080162.103
actix-web-bench,Compression,Medium,1,0.0,295.787,3.381,3.381,605855.5
actix-web-bench,Compression,Medium,25,0.0,1319.447,18.952,0.758,2702615.91
